reaction_id,reactant_smiles,product_smiles,reaction_type,similarity,embedding_norm,reactant_length,product_length,reactant_embedding_norm,product_embedding_norm
hydrolysis_0,CC(C)Br,CC(C)O,hydrolysis,0.7928053736686707,4.51906156539917,7,6,7.216984272003174,6.758243560791016
hydrolysis_1,CC(C)Br,CC(C)O,hydrolysis,0.7928053736686707,4.51906156539917,7,6,7.216984272003174,6.758243560791016
hydrolysis_2,CC(C)Br,CC(C)O,hydrolysis,0.7928053736686707,4.51906156539917,7,6,7.216984272003174,6.758243560791016
hydrolysis_3,CC(C)Br,CC(C)O,hydrolysis,0.7928053736686707,4.51906156539917,7,6,7.216984272003174,6.758243560791016
hydrolysis_4,CC(C)Br,CC(C)O,hydrolysis,0.7928053736686707,4.51906156539917,7,6,7.216984272003174,6.758243560791016
hydrolysis_5,CC(C)Br,CC(C)O,hydrolysis,0.7928053736686707,4.51906156539917,7,6,7.216984272003174,6.758243560791016
hydrolysis_6,CC(C)Br,CC(C)O,hydrolysis,0.7928053736686707,4.51906156539917,7,6,7.216984272003174,6.758243560791016
hydrolysis_7,CC(C)Br,CC(C)O,hydrolysis,0.7928053736686707,4.51906156539917,7,6,7.216984272003174,6.758243560791016
hydrolysis_8,CC(C)Br,CC(C)O,hydrolysis,0.7928053736686707,4.51906156539917,7,6,7.216984272003174,6.758243560791016
hydrolysis_9,CC(C)Br,CC(C)O,hydrolysis,0.7928053736686707,4.51906156539917,7,6,7.216984272003174,6.758243560791016
hydrolysis_0,c1ccc(C)cc1Br,c1ccc(C)cc1O,hydrolysis,0.9011670351028442,3.212944984436035,13,12,7.267345905303955,7.181004524230957
hydrolysis_1,c1ccc(O)cc1Br,c1ccc(O)cc1O,hydrolysis,0.9412199258804321,2.5830204486846924,13,12,7.550885200500488,7.514715671539307
hydrolysis_2,c1ccc(N)cc1Br,c1ccc(N)cc1O,hydrolysis,0.9405661821365356,2.5734450817108154,13,12,7.515477180480957,7.397744655609131
hydrolysis_3,c1ccc(C)cc1Br,c1ccc(C)cc1O,hydrolysis,0.9011670351028442,3.212944984436035,13,12,7.267345905303955,7.181004524230957
hydrolysis_4,c1ccc(O)cc1Br,c1ccc(O)cc1O,hydrolysis,0.9412199258804321,2.5830204486846924,13,12,7.550885200500488,7.514715671539307
hydrolysis_5,c1ccc(N)cc1Br,c1ccc(N)cc1O,hydrolysis,0.9405661821365356,2.5734450817108154,13,12,7.515477180480957,7.397744655609131
hydrolysis_6,c1ccc(C)cc1Br,c1ccc(C)cc1O,hydrolysis,0.9011670351028442,3.212944984436035,13,12,7.267345905303955,7.181004524230957
hydrolysis_7,c1ccc(O)cc1Br,c1ccc(O)cc1O,hydrolysis,0.9412199258804321,2.5830204486846924,13,12,7.550885200500488,7.514715671539307
hydrolysis_8,c1ccc(N)cc1Br,c1ccc(N)cc1O,hydrolysis,0.9405661821365356,2.5734450817108154,13,12,7.515477180480957,7.397744655609131
hydrolysis_9,c1ccc(C)cc1Br,c1ccc(C)cc1O,hydrolysis,0.9011670351028442,3.212944984436035,13,12,7.267345905303955,7.181004524230957
esterification_0,CC(C)O,CC(C)OC(=O)C,esterification,0.8149289488792419,4.290438175201416,6,12,6.758243560791016,7.258610725402832
esterification_1,CC(C)O,CC(C)OC(=O)C,esterification,0.8149289488792419,4.290438175201416,6,12,6.758243560791016,7.258610725402832
esterification_2,CC(C)O,CC(C)OC(=O)C,esterification,0.8149289488792419,4.290438175201416,6,12,6.758243560791016,7.258610725402832
esterification_3,CC(C)O,CC(C)OC(=O)C,esterification,0.8149289488792419,4.290438175201416,6,12,6.758243560791016,7.258610725402832
esterification_4,CC(C)O,CC(C)OC(=O)C,esterification,0.8149289488792419,4.290438175201416,6,12,6.758243560791016,7.258610725402832
esterification_5,CC(C)O,CC(C)OC(=O)C,esterification,0.8149289488792419,4.290438175201416,6,12,6.758243560791016,7.258610725402832
esterification_6,CC(C)O,CC(C)OC(=O)C,esterification,0.8149289488792419,4.290438175201416,6,12,6.758243560791016,7.258610725402832
esterification_7,CC(C)O,CC(C)OC(=O)C,esterification,0.8149289488792419,4.290438175201416,6,12,6.758243560791016,7.258610725402832
esterification_8,CC(C)O,CC(C)OC(=O)C,esterification,0.8149289488792419,4.290438175201416,6,12,6.758243560791016,7.258610725402832
esterification_9,CC(C)O,CC(C)OC(=O)C,esterification,0.8149289488792419,4.290438175201416,6,12,6.758243560791016,7.258610725402832
esterification_0,c1ccc(C)cc1O,c1ccc(C)cc1OC(=O)C,esterification,0.7912904024124146,4.705638885498047,12,18,7.181004524230957,7.37468147277832
esterification_1,c1ccc(O)cc1O,c1ccc(O)cc1OC(=O)C,esterification,0.8509908318519592,4.096991062164307,12,18,7.514715671539307,7.494876861572266
esterification_2,c1ccc(N)cc1O,c1ccc(N)cc1OC(=O)C,esterification,0.8251789808273315,4.410150527954102,12,18,7.397744655609131,7.5141706466674805
esterification_3,c1ccc(C)cc1O,c1ccc(C)cc1OC(=O)C,esterification,0.7912904024124146,4.705638885498047,12,18,7.181004524230957,7.37468147277832
esterification_4,c1ccc(O)cc1O,c1ccc(O)cc1OC(=O)C,esterification,0.8509908318519592,4.096991062164307,12,18,7.514715671539307,7.494876861572266
esterification_5,c1ccc(N)cc1O,c1ccc(N)cc1OC(=O)C,esterification,0.8251789808273315,4.410150527954102,12,18,7.397744655609131,7.5141706466674805
esterification_6,c1ccc(C)cc1O,c1ccc(C)cc1OC(=O)C,esterification,0.7912904024124146,4.705638885498047,12,18,7.181004524230957,7.37468147277832
esterification_7,c1ccc(O)cc1O,c1ccc(O)cc1OC(=O)C,esterification,0.8509908318519592,4.096991062164307,12,18,7.514715671539307,7.494876861572266
esterification_8,c1ccc(N)cc1O,c1ccc(N)cc1OC(=O)C,esterification,0.8251789808273315,4.410150527954102,12,18,7.397744655609131,7.5141706466674805
esterification_9,c1ccc(C)cc1O,c1ccc(C)cc1OC(=O)C,esterification,0.7912904024124146,4.705638885498047,12,18,7.181004524230957,7.37468147277832
